tone_group,stem,n,tf,idf,tf_idf,example_word,example_word_freq,doc_freq
hawkish,inestim,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,inestimable,9,10
hawkish,ital,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,italics,18,15
hawkish,janeiro,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,janeiro,17,15
hawkish,jfcrgen,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,jfcrgen,19,19
hawkish,jochen,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,jochen,19,19
hawkish,jpi,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,jpy,75,33
hawkish,kann,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,kann,13,10
hawkish,kerosen,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,kerosene,16,16
hawkish,kruger,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,kruger,12,10
hawkish,kurz,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,kurz,19,17
hawkish,kynaston,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,kynaston,27,15
hawkish,kyung,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,kyung,10,10
hawkish,lavish,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,lavish,6,11
hawkish,laxton,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,laxton,33,27
hawkish,leipzig,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,leipzig,10,11
hawkish,lineag,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,lineage,12,12
hawkish,lionel,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,lionel,16,14
hawkish,lipsey,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,lipsey,14,12
hawkish,litani,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,litany,15,15
