doc_id,hawkish_hits,dovish_hits,net_tone,tone_group
11498,0,4,-4,dovish
11501,0,5,-5,dovish
11502,0,2,-2,dovish
11503,0,11,-11,dovish
11505,0,3,-3,dovish
11507,0,6,-6,dovish
11516,0,7,-7,dovish
11520,0,3,-3,dovish
11521,0,3,-3,dovish
11524,0,3,-3,dovish
11530,0,2,-2,dovish
11532,2,0,2,hawkish
11537,0,9,-9,dovish
11546,0,6,-6,dovish
11549,0,2,-2,dovish
11556,0,4,-4,dovish
11561,0,7,-7,dovish
11562,0,5,-5,dovish
11564,0,2,-2,dovish
11572,0,11,-11,dovish
11577,0,2,-2,dovish
11578,0,4,-4,dovish
11585,0,3,-3,dovish
11588,0,2,-2,dovish
11589,0,5,-5,dovish
11593,4,0,4,hawkish
11601,0,4,-4,dovish
11618,0,12,-12,dovish
11632,0,8,-8,dovish
11633,0,3,-3,dovish
11641,0,2,-2,dovish
11648,0,10,-10,dovish
11651,0,6,-6,dovish
11660,0,7,-7,dovish
11661,0,5,-5,dovish
11668,0,3,-3,dovish
11670,2,0,2,hawkish
11671,0,2,-2,dovish
11679,0,4,-4,dovish
11680,2,0,2,hawkish
11686,0,3,-3,dovish
11688,0,8,-8,dovish
11692,5,0,5,hawkish
11694,3,0,3,hawkish
11695,3,0,3,hawkish
11696,0,8,-8,dovish
11697,0,11,-11,dovish
11699,0,8,-8,dovish
11703,0,8,-8,dovish
11706,0,10,-10,dovish
11708,0,2,-2,dovish
11711,0,6,-6,dovish
11714,0,2,-2,dovish
11715,0,7,-7,dovish
11719,3,0,3,hawkish
11722,0,12,-12,dovish
11729,0,2,-2,dovish
11734,0,3,-3,dovish
11738,0,2,-2,dovish
11740,0,2,-2,dovish
11743,0,10,-10,dovish
