tone_group,stem,n,tf,idf,tf_idf,example_word,example_word_freq,doc_freq
dovish,ascertain,31,1.4504695076217493e-5,0.6931471805599453,1.0053888496961876e-5,ascertain,134,180
dovish,bob,31,1.4504695076217493e-5,0.6931471805599453,1.0053888496961876e-5,bob,115,83
dovish,server,31,1.4504695076217493e-5,0.6931471805599453,1.0053888496961876e-5,servers,48,52
dovish,wicksel,31,1.4504695076217493e-5,0.6931471805599453,1.0053888496961876e-5,wicksell,104,42
dovish,boomer,30,1.403680168666209e-5,0.6931471805599453,9.729569513188912e-6,boomers,160,144
dovish,cbo,30,1.403680168666209e-5,0.6931471805599453,9.729569513188912e-6,cbo,235,89
dovish,greenhous,30,1.403680168666209e-5,0.6931471805599453,9.729569513188912e-6,greenhouse,193,98
dovish,haruhiko,30,1.403680168666209e-5,0.6931471805599453,9.729569513188912e-6,haruhiko,303,183
dovish,lng,30,1.403680168666209e-5,0.6931471805599453,9.729569513188912e-6,lng,138,55
dovish,moratorium,30,1.403680168666209e-5,0.6931471805599453,9.729569513188912e-6,moratorium,117,91
dovish,npr,30,1.403680168666209e-5,0.6931471805599453,9.729569513188912e-6,npr,174,22
dovish,sociolog,30,1.403680168666209e-5,0.6931471805599453,9.729569513188912e-6,sociological,48,44
dovish,tree,30,1.403680168666209e-5,0.6931471805599453,9.729569513188912e-6,tree,87,111
dovish,benjamin,29,1.3568908297106688e-5,0.6931471805599453,9.405250529415949e-6,benjamin,215,159
dovish,childhood,29,1.3568908297106688e-5,0.6931471805599453,9.405250529415949e-6,childhood,117,62
dovish,cognit,29,1.3568908297106688e-5,0.6931471805599453,9.405250529415949e-6,cognitive,218,96
dovish,crilc,29,1.3568908297106688e-5,0.6931471805599453,9.405250529415949e-6,crilc,59,26
dovish,jeremi,29,1.3568908297106688e-5,0.6931471805599453,9.405250529415949e-6,jeremy,251,164
dovish,mdis,29,1.3568908297106688e-5,0.6931471805599453,9.405250529415949e-6,mdis,109,15
dovish,rollov,29,1.3568908297106688e-5,0.6931471805599453,9.405250529415949e-6,rollover,319,144
dovish,schumpet,29,1.3568908297106688e-5,0.6931471805599453,9.405250529415949e-6,schumpeter,211,123
dovish,sterilis,29,1.3568908297106688e-5,0.6931471805599453,9.405250529415949e-6,sterilisation,159,142
dovish,swedish,29,1.3568908297106688e-5,0.6931471805599453,9.405250529415949e-6,swedish,226,146
dovish,thomson,29,1.3568908297106688e-5,0.6931471805599453,9.405250529415949e-6,thomson,267,138
